Scenario,Analysis
"WestJet WS101 Calgary to London delayed 6 hours due to maintenance issue on August 10, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: International flight delayed 6-9 hours due to airline control<br>CONFIDENCE: 93%"
"Iberia IB6254 Madrid to Mexico City delayed 4 hours due to crew duty time restrictions on September 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline operational issue<br>CONFIDENCE: 88%"
"Turkish Airlines TK1 Istanbul to New York delayed 7 hours due to technical problem on October 5, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Non-EU airline departing non-EU airport, EU261 does not apply<br>CONFIDENCE: 85%"
"Air Canada AC200 Montreal to Toronto delayed 3.5 hours due to security incident at airport on July 5, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Security incident outside airline control<br>CONFIDENCE: 87%"
"Lufthansa LH890 Munich to London delayed 4 hours due to ground handling company strike on September 12, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Third-party strike constitutes extraordinary circumstances<br>CONFIDENCE: 82%"
"Southwest Airlines WN1234 Chicago to Denver delayed 5 hours due to aircraft maintenance on June 15, 2024.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: DOT does not require compensation for delays, only refunds<br>CONFIDENCE: 90%"
"Virgin Atlantic VS45 London to Boston delayed 4.5 hours due to crew illness on March 22, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline operational issue<br>CONFIDENCE: 86%"
"Alitalia AZ123 Rome to Frankfurt delayed 3 hours due to late aircraft arrival on May 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €250<br>REASON: Short-haul flight delayed exactly 3 hours due to airline operations<br>CONFIDENCE: 90%"
"JetBlue B6789 New York to Los Angeles delayed 6 hours due to weather at departure airport on August 25, 2024.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: Weather delay, only care and assistance required<br>CONFIDENCE: 92%"
"Porter Airlines PD123 Toronto to Ottawa delayed 4 hours due to mechanical issue on October 12, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: Domestic flight delayed >3 hours due to airline control<br>CONFIDENCE: 89%"
"SAS SK943 Copenhagen to Chicago delayed 5 hours due to technical malfunction on July 18, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline technical issue<br>CONFIDENCE: 95%"
"Finnair AY123 Helsinki to Bangkok delayed 8 hours due to bird strike during takeoff on September 30, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Bird strike constitutes extraordinary circumstances beyond airline control<br>CONFIDENCE: 88%"
"United Airlines UA456 San Francisco to London cancelled due to crew shortage, rebooked next day on June 3, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Flight cancellation due to airline operational issue from EU airport<br>CONFIDENCE: 93%"
"Air France AF234 Paris to Madrid delayed 2 hours due to air traffic control restrictions on April 14, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Delay under 3 hours, no compensation required<br>CONFIDENCE: 94%"
"WestJet WS456 Vancouver to Toronto delayed 9 hours due to crew scheduling on November 5, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $1000<br>REASON: Domestic flight delayed >9 hours due to airline control<br>CONFIDENCE: 92%"
"Ryanair FR456 Barcelona to London delayed 4 hours due to airport slot restrictions on May 25, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Airport operational restrictions beyond airline control<br>CONFIDENCE: 78%"
"Delta DL567 Atlanta to Amsterdam delayed 3.5 hours due to catering truck breakdown on July 8, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: US airline departing US airport, EU261 does not apply<br>CONFIDENCE: 96%"
"British Airways BA456 London to Edinburgh delayed 5 hours due to snow, but other airlines operated normally from same airport on January 15, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €250<br>REASON: Weather delay but airline failed to take reasonable measures when others operated normally<br>CONFIDENCE: 71%"
"Air Canada AC456 Toronto to Paris delayed 7 hours due to mechanical problem on August 20, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: International flight delayed 6-9 hours due to airline control<br>CONFIDENCE: 90%"
"Emirates EK123 Dubai to London delayed 6 hours due to technical issue on September 5, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Non-EU airline departing non-EU airport, EU261 does not apply<br>CONFIDENCE: 92%"
"Lufthansa LH234 Frankfurt to Los Angeles cancelled due to pilot strike on October 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Strike by airline employees constitutes extraordinary circumstances<br>CONFIDENCE: 85%"
"Norwegian DY123 Oslo to New York delayed 4.5 hours due to crew rest time violation on June 12, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline operational planning issue<br>CONFIDENCE: 87%"
"Singapore Airlines SQ317 Singapore to Frankfurt, passenger baggage delayed 3 days, expenses incurred €400 for essential items.","ELIGIBLE: Yes<br>REGULATION: Montreal Convention<br>AMOUNT: €400<br>REASON: Baggage delay compensation under Montreal Convention, reasonable expenses covered<br>CONFIDENCE: 85%"
"Air Canada AC789 Calgary to Mexico City delayed 5 hours due to customs inspection delay on July 30, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Government customs delay outside airline control<br>CONFIDENCE: 89%"
"KLM KL789 Amsterdam to Tokyo delayed 8 hours due to typhoon at destination on September 15, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Extraordinary circumstances - severe weather at destination<br>CONFIDENCE: 94%"
"United Airlines UA789 Chicago to Paris, passenger involuntarily denied boarding, next flight 6 hours later, ticket cost $800.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Denied boarding from EU-bound flight, long-haul compensation applies<br>CONFIDENCE: 88%"
"Ryanair FR999 Barcelona to Dublin delayed 8 hours because crew reached maximum duty time after initial 2-hour weather delay on March 3, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €250<br>REASON: Initial weather delay excused, but extended delay due to crew planning falls under airline responsibility<br>CONFIDENCE: 69%"
"Air Transat TS123 Montreal to London delayed 10 hours due to mechanical problem on August 5, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $1000<br>REASON: International flight delayed >9 hours due to airline control<br>CONFIDENCE: 94%"
"Iberia IB345 Madrid to Buenos Aires delayed 3 hours due to late connecting passengers on October 22, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed exactly 3 hours due to airline operational decision<br>CONFIDENCE: 83%"
"Porter Airlines PD456 Billy Bishop to Montreal delayed 2.5 hours due to fog at departure airport on November 8, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Weather delay under 3 hours, no compensation required<br>CONFIDENCE: 91%"
"Turkish Airlines TK456 Istanbul to Toronto delayed 4 hours due to technical malfunction, connecting through EU airport on June 28, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Non-EU airline, EU261 applies only to direct EU departures or EU airline arrivals<br>CONFIDENCE: 76%"
"Cathay Pacific CX890 Hong Kong to London delayed 5 hours due to crew scheduling issue on September 25, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Non-EU airline departing non-EU airport, EU261 does not apply<br>CONFIDENCE: 95%"
"Air Canada AC234 Toronto to Frankfurt delayed 6 hours due to de-icing equipment failure despite forecast snow on December 12, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: Airline failed to prepare adequate de-icing capacity for forecast weather<br>CONFIDENCE: 74%"
"Vueling VY123 Barcelona to Rome delayed 4 hours due to air traffic control computer system failure on May 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: ATC system failure beyond airline control constitutes extraordinary circumstances<br>CONFIDENCE: 87%"
"WestJet WS789 Toronto to London Gatwick delayed 7 hours due to crew illness on July 25, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: International flight delayed 6-9 hours due to crew management within airline control<br>CONFIDENCE: 85%"
"Alitalia AZ456 Rome to New York delayed 9 hours due to volcanic ash from Etna eruption on August 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Extraordinary circumstances - natural disaster beyond airline control<br>CONFIDENCE: 96%"
"United Airlines UA567 Newark to London cancelled due to aircraft damage from ground handling, rebooked next day on October 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Cancellation due to ground handling incident within airline's operational control<br>CONFIDENCE: 81%"
"Lufthansa LH567 Munich to Chicago delayed 3.5 hours due to late aircraft arrival from previous flight on June 18, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline scheduling/operational issue<br>CONFIDENCE: 89%"
"Air Canada AC567 Vancouver to Seoul delayed 11 hours due to typhoon at destination, passengers accommodated overnight on September 3, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Weather at destination outside airline control<br>CONFIDENCE: 93%"
"British Airways BA234 London to Boston delayed 2 hours due to cabin crew shortage on November 12, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Delay under 3 hours, no compensation required despite airline fault<br>CONFIDENCE: 95%"
"Finnair AY456 Helsinki to Singapore delayed 6 hours due to engine inspection after bird strike report on July 3, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Safety inspection required after bird strike constitutes extraordinary circumstances<br>CONFIDENCE: 86%"
"Porter Airlines PD789 Toronto to New York delayed 4.5 hours due to customs processing delay on August 8, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Government customs delay outside airline control<br>CONFIDENCE: 90%"
"Iberia IB789 Madrid to Miami delayed 5 hours due to passenger medical emergency requiring return to gate on October 15, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Medical emergency constitutes extraordinary circumstances<br>CONFIDENCE: 92%"
"Air Transat TS456 Toronto to Paris delayed 8 hours due to crew duty time exceeded after maintenance delay on June 20, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: Maintenance delay within airline control, crew planning should account for duty limits<br>CONFIDENCE: 78%"
"KLM KL234 Amsterdam to Vancouver delayed 3 hours due to late connecting aircraft from delayed previous flight on September 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed exactly 3 hours due to airline operational scheduling<br>CONFIDENCE: 84%"
"Ryanair FR234 Dublin to Manchester delayed 4.5 hours due to airport closure for emergency landing of another aircraft on November 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Airport emergency closure beyond airline control<br>CONFIDENCE: 88%"
"United Airlines UA345 San Francisco to Amsterdam cancelled due to suspected food poisoning among crew on July 12, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Crew health issue due to airline catering arrangements within operational control<br>CONFIDENCE: 73%"
"Air Canada AC345 Montreal to Vancouver delayed 5 hours due to computer system failure affecting check-in on August 15, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: Domestic flight delayed >3 hours due to airline IT system failure<br>CONFIDENCE: 91%"
"Norwegian DY456 Stockholm to Los Angeles delayed 7 hours due to aircraft swap for weight restrictions on October 5, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline operational planning issue<br>CONFIDENCE: 86%"
"Lufthansa LH345 Frankfurt to Toronto delayed 4 hours due to cargo loading equipment malfunction on June 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airport equipment within airline operations<br>CONFIDENCE: 82%"
"WestJet WS234 Calgary to Toronto delayed 6 hours due to severe thunderstorm with airport closure on July 22, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Severe weather with airport closure outside airline control<br>CONFIDENCE: 94%"
"Virgin Atlantic VS123 London to New York delayed 8 hours due to passenger disruption requiring police removal on September 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Disruptive passenger requiring security intervention constitutes extraordinary circumstances<br>CONFIDENCE: 89%"
"Air Canada AC678 Toronto to London delayed 9 hours due to mechanical problem discovered during pre-flight inspection on August 28, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $1000<br>REASON: International flight delayed >9 hours due to mechanical issue within airline control<br>CONFIDENCE: 93%"
"EasyJet EZY456 Berlin to Rome delayed 6 hours due to bird strike during takeoff roll on May 25, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Bird strike constitutes extraordinary circumstances beyond airline control<br>CONFIDENCE: 88%"
"United Airlines UA678 Chicago to Munich, passenger involuntarily denied boarding due to weight restrictions, next flight 8 hours later, ticket cost $1200.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Denied boarding on EU-bound flight, weight restrictions are airline operational decisions<br>CONFIDENCE: 87%"
"Porter Airlines PD345 Toronto to Boston delayed 3.5 hours due to crew scheduling conflict on October 25, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: International flight delayed >3 hours due to crew management within airline control<br>CONFIDENCE: 89%"
"British Airways BA567 London to Dubai delayed 4 hours due to technical problem with aircraft navigation system on November 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline technical issue<br>CONFIDENCE: 94%"
"Air Transat TS789 Montreal to Barcelona delayed 5 hours due to air traffic control strike in France on June 15, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Air traffic control strike constitutes extraordinary circumstances<br>CONFIDENCE: 91%"
"KLM KL567 Amsterdam to Boston delayed 7 hours due to crew rest requirements exceeded after maintenance delay on August 3, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Maintenance delay and subsequent crew issues within airline operational control<br>CONFIDENCE: 85%"
"Ryanair FR567 London to Dublin delayed 3 hours due to airport congestion at departure on September 12, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Airport congestion beyond individual airline control, but compensation at exactly 3 hours is borderline<br>CONFIDENCE: 76%"
"Air Canada AC890 Vancouver to Tokyo delayed 6 hours due to typhoon approaching destination, flight eventually cancelled on October 20, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Weather at destination outside airline control<br>CONFIDENCE: 95%"
"Lufthansa LH678 Munich to San Francisco delayed 4.5 hours due to passenger bags requiring additional security screening on July 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Security screening requirements beyond airline control<br>CONFIDENCE: 87%"
"United Airlines UA234 Denver to London cancelled due to crew shortage caused by previous flight delays on August 25, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Crew shortage due to airline operational issues, even if triggered by earlier delays<br>CONFIDENCE: 81%"
"Porter Airlines PD567 Billy Bishop to Ottawa delayed 4 hours due to runway closure for aircraft emergency on November 15, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Airport emergency closure beyond airline control<br>CONFIDENCE: 90%"
"Norwegian DY789 Copenhagen to Bangkok delayed 9 hours due to aircraft air conditioning system failure on June 25, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to aircraft technical malfunction<br>CONFIDENCE: 92%"
"Air Canada AC456 Toronto to Amsterdam delayed 8 hours due to de-icing truck breakdown in forecast winter storm on December 5, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: Equipment failure during forecast weather shows inadequate preparation by airline<br>CONFIDENCE: 72%"
"British Airways BA345 London to Sydney delayed 5 hours due to fuel truck delay at departure gate on September 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Ground service coordination within airline operational responsibility<br>CONFIDENCE: 84%"
"WestJet WS345 Toronto to London delayed 6 hours due to passenger medical emergency requiring aircraft cleaning on October 12, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Medical emergency constitutes extraordinary circumstances outside airline control<br>CONFIDENCE: 88%"
"Iberia IB567 Madrid to Caracas delayed 3.5 hours due to diplomatic clearance delay for Venezuelan airspace on August 18, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Government diplomatic restrictions outside airline control<br>CONFIDENCE: 86%"
"Air Transat TS234 Toronto to Rome delayed 7 hours due to aircraft door seal problem discovered during boarding on July 8, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: International flight delayed 6-9 hours due to aircraft technical issue<br>CONFIDENCE: 91%"
"KLM KL345 Amsterdam to Mexico City delayed 4 hours due to crew duty time approaching limit after earlier delay on September 20, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Crew scheduling and duty time management within airline operational control<br>CONFIDENCE: 83%"
"United Airlines UA789 Los Angeles to Paris cancelled due to aircraft bird strike damage during taxi on November 3, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Bird strike damage constitutes extraordinary circumstances beyond airline control<br>CONFIDENCE: 89%"
"Air Canada AC567 Montreal to London delayed 10 hours due to engine inspection after oil pressure warning on August 12, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $1000<br>REASON: While safety-related, engine maintenance issues are within airline operational responsibility<br>CONFIDENCE: 79%"
"Ryanair FR789 Barcelona to Berlin delayed 5 hours due to airport workers strike affecting ground handling on October 8, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Third-party ground handling strike constitutes extraordinary circumstances<br>CONFIDENCE: 85%"
"Lufthansa LH789 Frankfurt to Beijing delayed 6 hours due to Chinese airspace restrictions for military exercises on June 30, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Government airspace restrictions for military activities beyond airline control<br>CONFIDENCE: 93%"
"Porter Airlines PD678 Toronto to Chicago delayed 3 hours due to customs computer system failure at destination on September 15, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $125<br>REASON: Government system failure, but domestic-style compensation may apply for inconvenience<br>CONFIDENCE: 71%"
"Virgin Atlantic VS456 London to Miami delayed 7 hours due to hurricane affecting Florida airspace on August 28, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Hurricane constitutes extraordinary circumstances beyond airline control<br>CONFIDENCE: 96%"
"Air Canada AC789 Vancouver to Frankfurt delayed 4.5 hours due to aircraft cleaning delay after previous passenger illness on October 18, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: Aircraft turnaround procedures within airline operational control<br>CONFIDENCE: 82%"
"Norwegian DY234 Oslo to New York delayed 8 hours due to crew replacement needed after pilot became ill on July 5, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Crew replacement procedures within airline operational planning responsibilities<br>CONFIDENCE: 87%"
"United Airlines UA456 San Francisco to London delayed 3 hours due to late aircraft arrival from maintenance base on November 22, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed exactly 3 hours due to airline maintenance scheduling<br>CONFIDENCE: 90%"
"WestJet WS567 Toronto to Vancouver delayed 9 hours due to aircraft lightning strike damage inspection on August 8, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Lightning damage requires safety inspection, constitutes extraordinary circumstances<br>CONFIDENCE: 88%"
"British Airways BA678 London to Hong Kong delayed 5 hours due to catering delay from supplier strike on September 25, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Catering arrangements within airline operational control, alternative suppliers available<br>CONFIDENCE: 79%"
"Air Transat TS567 Montreal to Athens delayed 6 hours due to Greek air traffic control computer malfunction on June 18, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Air traffic control system failure constitutes extraordinary circumstances<br>CONFIDENCE: 91%"
"KLM KL678 Amsterdam to Johannesburg delayed 4 hours due to passenger connecting baggage delay on October 25, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Baggage handling procedures within airline operational responsibility<br>CONFIDENCE: 85%"
"Ryanair FR345 Dublin to Amsterdam delayed 7 hours due to dense fog with airport closure on December 8, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Severe weather with airport closure beyond airline control<br>CONFIDENCE: 95%"
"Air Canada AC234 Calgary to Paris delayed 11 hours due to aircraft hydraulic system malfunction on July 15, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $1000<br>REASON: International flight delayed >9 hours due to aircraft technical problem<br>CONFIDENCE: 94%"
"United Airlines UA567 Chicago to Rome cancelled due to airport closure for suspected security threat on August 20, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Security threat requiring airport closure beyond airline control<br>CONFIDENCE: 92%"
"Porter Airlines PD234 Toronto to Montreal delayed 2.5 hours due to runway maintenance at departure on November 10, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Delay under 3 hours, no compensation required<br>CONFIDENCE: 93%"
"Lufthansa LH234 Munich to Cape Town delayed 8 hours due to aircraft tire replacement after landing gear inspection on September 12, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to aircraft maintenance issue<br>CONFIDENCE: 91%"
"Virgin Atlantic VS789 London to Tokyo delayed 6 hours due to passenger requiring medical evacuation before takeoff on October 28, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Medical emergency constitutes extraordinary circumstances<br>CONFIDENCE: 90%"
"Air Canada AC123 Toronto to Berlin delayed 5 hours due to aircraft computer system reset required on August 5, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: International flight delayed >3 hours due to aircraft technical issue<br>CONFIDENCE: 88%"
"Norwegian DY567 Stockholm to Miami delayed 9 hours due to crew replacement after duty time violation on July 28, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to crew scheduling within airline control<br>CONFIDENCE: 86%"
"United Airlines UA123 Newark to Berlin cancelled due to transatlantic airspace closure for military exercise on November 15, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Military airspace closure constitutes extraordinary circumstances<br>CONFIDENCE: 94%"
"WestJet WS123 Vancouver to London delayed 4 hours due to aircraft fuel system inspection on September 22, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: International flight delayed >3 hours due to aircraft maintenance within airline control<br>CONFIDENCE: 89%"
"British Airways BA789 London to Seoul delayed 7 hours due to passenger baggage security alert requiring inspection on October 12, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Security alert requiring baggage inspection beyond airline control<br>CONFIDENCE: 87%"
"Air Transat TS123 Toronto to Madrid delayed 8 hours due to aircraft engine oil leak discovered during pre-flight on August 18, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $800<br>REASON: International flight delayed 6-9 hours due to aircraft technical issue<br>CONFIDENCE: 92%"
